MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;16
ALMEIDA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;7
ALMEIDA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;4
ALMEIDA;ENRIQUE PEÑALOSA LONDOÑO;Alianza Verde;6
ALMEIDA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;1
ALMEIDA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;12
ALMEIDA;JUAN DANIEL OVIEDO ARANGO;Con Toda por Colombia;41
ALMEIDA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;7
ALMEIDA;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;1
ALMEIDA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;1
ALMEIDA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;135
ALMEIDA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;6
ALMEIDA;VICTORIA EUGENIA DAVILA HOYOS;Valientes;5
AQUITANIA (PUEBLOVIEJO);ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;8
AQUITANIA (PUEBLOVIEJO);CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;129
AQUITANIA (PUEBLOVIEJO);DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;20
AQUITANIA (PUEBLOVIEJO);DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;10
AQUITANIA (PUEBLOVIEJO);EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;4
AQUITANIA (PUEBLOVIEJO);ENRIQUE PEÑALOSA LONDOÑO;Alianza Verde;25
AQUITANIA (PUEBLOVIEJO);HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;2
AQUITANIA (PUEBLOVIEJO);JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;114
AQUITANIA (PUEBLOVIEJO);JUAN DANIEL OVIEDO ARANGO;Con Toda por Colombia;173
AQUITANIA (PUEBLOVIEJO);JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;55
AQUITANIA (PUEBLOVIEJO);LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;12
AQUITANIA (PUEBLOVIEJO);MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;4
AQUITANIA (PUEBLOVIEJO);MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;11
AQUITANIA (PUEBLOVIEJO);PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;898
AQUITANIA (PUEBLOVIEJO);ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;33
AQUITANIA (PUEBLOVIEJO);VICTORIA EUGENIA DAVILA HOYOS;Valientes;63
ARCABUCO;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;2
ARCABUCO;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;51
ARCABUCO;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;12
ARCABUCO;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;3
ARCABUCO;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;2
ARCABUCO;ENRIQUE PEÑALOSA LONDOÑO;Alianza Verde;12
ARCABUCO;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;2
ARCABUCO;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;36
ARCABUCO;JUAN DANIEL OVIEDO ARANGO;Con Toda por Colombia;188
ARCABUCO;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;14
ARCABUCO;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;2
ARCABUCO;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;1
ARCABUCO;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;2
ARCABUCO;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;277
ARCABUCO;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;38
ARCABUCO;VICTORIA EUGENIA DAVILA HOYOS;Valientes;23
BELEN;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;5
BELEN;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;209
BELEN;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;27
BELEN;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;17
BELEN;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;7
BELEN;ENRIQUE PEÑALOSA LONDOÑO;Alianza Verde;68
BELEN;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;3
BELEN;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;85
BELEN;JUAN DANIEL OVIEDO ARANGO;Con Toda por Colombia;256
BELEN;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;113
BELEN;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;5
BELEN;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;10
BELEN;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;20
BELEN;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;705
BELEN;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;29
BELEN;VICTORIA EUGENIA DAVILA HOYOS;Valientes;70
BERBEO;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;1
BERBEO;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;17
BERBEO;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;10
BERBEO;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;1
BERBEO;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;3
BERBEO;ENRIQUE PEÑALOSA LONDOÑO;Alianza Verde;1
BERBEO;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;10
BERBEO;JUAN DANIEL OVIEDO ARANGO;Con Toda por Colombia;28
BERBEO;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;11
BERBEO;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1
BERBEO;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;1
BERBEO;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;162
BERBEO;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;10
BERBEO;VICTORIA EUGENIA DAVILA HOYOS;Valientes;2
BETEITIVA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;3
BETEITIVA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;55
BETEITIVA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;8
